edge_3683l	barrnap:0.9	rRNA	163	1646	0	-	.	ID=AAHFOCED_00001;locus_tag=AAHFOCED_00001;product=16S ribosomal RNA
edge_3683l	Prodigal:002006	CDS	345035	345262	.	+	0	ID=AAHFOCED_00347;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00347;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	345531	345788	.	+	0	ID=AAHFOCED_00348;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00348;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	345815	347509	.	+	0	ID=AAHFOCED_00349;Name=bmr3_1;gene=bmr3_1;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P96712;locus_tag=AAHFOCED_00349;product=Multidrug resistance protein 3
edge_3683l	Prodigal:002006	CDS	347917	348603	.	-	0	ID=AAHFOCED_00350;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00350;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	348650	349549	.	+	0	ID=AAHFOCED_00351;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00351;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	349621	350931	.	+	0	ID=AAHFOCED_00352;eC_number=6.1.1.23;Name=aspS2_2;db_xref=COG:COG0017;gene=aspS2_2;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q5SIC2;locus_tag=AAHFOCED_00352;product=Aspartate--tRNA(Asp/Asn) ligase
edge_3683l	Prodigal:002006	CDS	350934	351710	.	+	0	ID=AAHFOCED_00353;eC_number=3.1.3.23;Name=yidA;db_xref=COG:COG0561;gene=yidA;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P0A8Y5;locus_tag=AAHFOCED_00353;product=Sugar phosphatase YidA
edge_3683l	Prodigal:002006	CDS	351769	351987	.	+	0	ID=AAHFOCED_00354;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00354;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	351999	352376	.	+	0	ID=AAHFOCED_00355;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00355;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	352390	353019	.	-	0	ID=AAHFOCED_00356;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00356;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	353031	353555	.	-	0	ID=AAHFOCED_00357;Name=msrAB;gene=msrAB;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q9JWM8;locus_tag=AAHFOCED_00357;product=Peptide methionine sulfoxide reductase MsrA/MsrB
edge_3683l	Prodigal:002006	CDS	353577	354368	.	+	0	ID=AAHFOCED_00358;eC_number=3.2.2.31;Name=mutY;db_xref=COG:COG1194;gene=mutY;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P9WQ09;locus_tag=AAHFOCED_00358;product=Adenine DNA glycosylase
edge_3683l	Prodigal:002006	CDS	354388	354930	.	+	0	ID=AAHFOCED_00359;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00359;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	354927	355304	.	+	0	ID=AAHFOCED_00360;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00360;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	355311	356102	.	-	0	ID=AAHFOCED_00361;Name=mscS;db_xref=COG:COG0668;gene=mscS;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q8R6L9;locus_tag=AAHFOCED_00361;product=Small-conductance mechanosensitive channel
edge_3683l	Prodigal:002006	CDS	356211	356858	.	+	0	ID=AAHFOCED_00362;eC_number=2.1.1.33;Name=trmB;gene=trmB;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01057;locus_tag=AAHFOCED_00362;product=tRNA (guanine-N(7)-)-methyltransferase
edge_3683l	Prodigal:002006	CDS	356882	357223	.	+	0	ID=AAHFOCED_00363;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00363;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	357220	358863	.	-	0	ID=AAHFOCED_00364;eC_number=6.3.2.8;Name=murC;gene=murC;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_00046;locus_tag=AAHFOCED_00364;product=UDP-N-acetylmuramate--L-alanine ligase
edge_3683l	Prodigal:002006	CDS	358971	360191	.	+	0	ID=AAHFOCED_00365;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00365;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	360233	360859	.	+	0	ID=AAHFOCED_00366;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00366;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	360933	361142	.	+	0	ID=AAHFOCED_00367;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00367;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	361382	361966	.	+	0	ID=AAHFOCED_00368;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00368;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	362057	363571	.	+	0	ID=AAHFOCED_00369;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00369;product=hypothetical protein
edge_3683l	Aragorn:001002	tRNA	363660	363735	.	-	.	ID=AAHFOCED_00370;inference=COORDINATES:profile:Aragorn:001002;locus_tag=AAHFOCED_00370;product=tRNA-Met(cat)
edge_3683l	Prodigal:002006	CDS	363863	364321	.	+	0	ID=AAHFOCED_00371;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00371;product=hypothetical protein
edge_3683l	Aragorn:001002	tRNA	364416	364493	.	+	.	ID=AAHFOCED_00372;inference=COORDINATES:profile:Aragorn:001002;locus_tag=AAHFOCED_00372;product=tRNA-Met(cat)
edge_3683l	Prodigal:002006	CDS	364603	365334	.	+	0	ID=AAHFOCED_00373;eC_number=2.7.1.71;Name=aroK;gene=aroK;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_00109;locus_tag=AAHFOCED_00373;product=Shikimate kinase
edge_3683l	Prodigal:002006	CDS	365347	365610	.	-	0	ID=AAHFOCED_00374;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00374;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	365668	366117	.	+	0	ID=AAHFOCED_00375;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00375;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	366172	366495	.	-	0	ID=AAHFOCED_00376;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00376;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	366590	367960	.	-	0	ID=AAHFOCED_00377;eC_number=1.8.1.4;Name=lpd;db_xref=COG:COG1249;gene=lpd;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P85207;locus_tag=AAHFOCED_00377;product=Dihydrolipoyl dehydrogenase
edge_3683l	Prodigal:002006	CDS	367970	368257	.	-	0	ID=AAHFOCED_00378;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00378;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	368254	369015	.	-	0	ID=AAHFOCED_00379;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00379;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	369078	370337	.	+	0	ID=AAHFOCED_00380;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00380;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	370416	370571	.	+	0	ID=AAHFOCED_00381;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00381;product=hypothetical protein
edge_3683l	Aragorn:001002	tRNA	370671	370747	.	+	.	ID=AAHFOCED_00382;inference=COORDINATES:profile:Aragorn:001002;locus_tag=AAHFOCED_00382;product=tRNA-Met(cat)
edge_3683l	Prodigal:002006	CDS	370810	371424	.	+	0	ID=AAHFOCED_00383;eC_number=3.6.1.9;Name=maf;db_xref=COG:COG0424;gene=maf;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q02169;locus_tag=AAHFOCED_00383;product=dTTP/UTP pyrophosphatase
edge_3683l	Prodigal:002006	CDS	371470	373173	.	+	0	ID=AAHFOCED_00384;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00384;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	373179	373688	.	-	0	ID=AAHFOCED_00385;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00385;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	373730	374281	.	+	0	ID=AAHFOCED_00386;eC_number=3.6.1.66;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01405;locus_tag=AAHFOCED_00386;product=dITP/XTP pyrophosphatase
edge_3683l	Prodigal:002006	CDS	374278	375093	.	-	0	ID=AAHFOCED_00387;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00387;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	375141	375599	.	-	0	ID=AAHFOCED_00388;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00388;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	375748	376368	.	+	0	ID=AAHFOCED_00389;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00389;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	376433	377482	.	+	0	ID=AAHFOCED_00390;Name=dipZ_1;db_xref=COG:COG0785;gene=dipZ_1;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P9WG63;locus_tag=AAHFOCED_00390;product=Protein DipZ
edge_3683l	Prodigal:002006	CDS	377430	378083	.	+	0	ID=AAHFOCED_00391;Name=dipZ_2;db_xref=COG:COG0785;gene=dipZ_2;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P9WG63;locus_tag=AAHFOCED_00391;product=Protein DipZ
edge_3683l	Prodigal:002006	CDS	378083	378685	.	+	0	ID=AAHFOCED_00392;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00392;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	378682	378960	.	-	0	ID=AAHFOCED_00393;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00393;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	379088	379828	.	+	0	ID=AAHFOCED_00394;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00394;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	379898	381115	.	+	0	ID=AAHFOCED_00395;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00395;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	381301	381567	.	+	0	ID=AAHFOCED_00396;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00396;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	381564	382826	.	+	0	ID=AAHFOCED_00397;eC_number=2.7.7.7;Name=dinB_2;gene=dinB_2;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01113;locus_tag=AAHFOCED_00397;product=DNA polymerase IV
edge_3683l	Prodigal:002006	CDS	382858	383985	.	-	0	ID=AAHFOCED_00398;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00398;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	384023	384889	.	+	0	ID=AAHFOCED_00399;eC_number=6.3.4.19;Name=tilS;gene=tilS;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01161;locus_tag=AAHFOCED_00399;product=tRNA(Ile)-lysidine synthase
edge_3683l	Prodigal:002006	CDS	384944	386809	.	+	0	ID=AAHFOCED_00400;eC_number=3.4.24.-;Name=ftsH;gene=ftsH;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01458;locus_tag=AAHFOCED_00400;product=ATP-dependent zinc metalloprotease FtsH
edge_3683l	Prodigal:002006	CDS	386834	388477	.	+	0	ID=AAHFOCED_00401;Name=murJ;gene=murJ;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_02078;locus_tag=AAHFOCED_00401;product=lipid II flippase MurJ
edge_3683l	Prodigal:002006	CDS	388662	390728	.	+	0	ID=AAHFOCED_00402;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00402;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	390785	391525	.	+	0	ID=AAHFOCED_00403;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00403;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	391623	392312	.	+	0	ID=AAHFOCED_00404;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00404;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	392306	394558	.	+	0	ID=AAHFOCED_00405;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00405;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	394601	396379	.	+	0	ID=AAHFOCED_00406;eC_number=3.6.5.-;Name=lepA;db_xref=COG:COG0481;gene=lepA;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P9WK97;locus_tag=AAHFOCED_00406;product=Elongation factor 4
edge_3683l	Prodigal:002006	CDS	396407	397144	.	+	0	ID=AAHFOCED_00407;eC_number=2.7.4.8;Name=gmk;gene=gmk;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_00328;locus_tag=AAHFOCED_00407;product=Guanylate kinase
edge_3683l	Prodigal:002006	CDS	397150	397413	.	-	0	ID=AAHFOCED_00408;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00408;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	397502	398209	.	+	0	ID=AAHFOCED_00409;Name=hrcA;gene=hrcA;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_00081;locus_tag=AAHFOCED_00409;product=Heat-inducible transcription repressor HrcA
edge_3683l	Prodigal:002006	CDS	398210	398677	.	+	0	ID=AAHFOCED_00410;Name=grpE;db_xref=COG:COG0576;gene=grpE;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P9WMT5;locus_tag=AAHFOCED_00410;product=Protein GrpE
edge_3683l	Prodigal:002006	CDS	398690	398908	.	-	0	ID=AAHFOCED_00411;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00411;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	398990	399172	.	+	0	ID=AAHFOCED_00412;Name=tatA;gene=tatA;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_00236;locus_tag=AAHFOCED_00412;product=Sec-independent protein translocase protein TatA
edge_3683l	Prodigal:002006	CDS	399123	400184	.	+	0	ID=AAHFOCED_00413;Name=tatC;gene=tatC;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_00902;locus_tag=AAHFOCED_00413;product=Sec-independent protein translocase protein TatC
edge_3683l	Prodigal:002006	CDS	400275	400481	.	+	0	ID=AAHFOCED_00414;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00414;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	400559	401437	.	+	0	ID=AAHFOCED_00415;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00415;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	401434	401991	.	-	0	ID=AAHFOCED_00416;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00416;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	402119	403039	.	+	0	ID=AAHFOCED_00417;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00417;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	403117	404169	.	+	0	ID=AAHFOCED_00418;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00418;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	404231	405277	.	+	0	ID=AAHFOCED_00419;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00419;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	405321	406409	.	+	0	ID=AAHFOCED_00420;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00420;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	406399	407466	.	+	0	ID=AAHFOCED_00421;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00421;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	407521	407724	.	+	0	ID=AAHFOCED_00422;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00422;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	407734	412776	.	+	0	ID=AAHFOCED_00423;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00423;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	412776	414296	.	+	0	ID=AAHFOCED_00424;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00424;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	414436	416337	.	+	0	ID=AAHFOCED_00425;Name=dnaK;gene=dnaK;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q05981;locus_tag=AAHFOCED_00425;product=Chaperone protein DnaK
edge_3683l	Prodigal:002006	CDS	416451	416804	.	+	0	ID=AAHFOCED_00426;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00426;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	416838	417422	.	+	0	ID=AAHFOCED_00427;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00427;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	417396	418742	.	-	0	ID=AAHFOCED_00428;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00428;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	418745	419470	.	-	0	ID=AAHFOCED_00429;eC_number=2.6.1.114;Name=rosB;gene=rosB;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:K4REZ6;locus_tag=AAHFOCED_00429;product=8-demethyl-8-aminoriboflavin-5'-phosphate synthase
edge_3683l	Prodigal:002006	CDS	419487	420272	.	-	0	ID=AAHFOCED_00430;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00430;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	420269	420865	.	-	0	ID=AAHFOCED_00431;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00431;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	420877	421404	.	-	0	ID=AAHFOCED_00432;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00432;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	421616	422176	.	+	0	ID=AAHFOCED_00433;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00433;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	422286	422876	.	+	0	ID=AAHFOCED_00434;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00434;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	422989	424746	.	+	0	ID=AAHFOCED_00435;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00435;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	424815	425918	.	+	0	ID=AAHFOCED_00436;Name=dnaJ_1;gene=dnaJ_1;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P63971;locus_tag=AAHFOCED_00436;product=Chaperone protein DnaJ
edge_3683l	Prodigal:002006	CDS	426011	426478	.	+	0	ID=AAHFOCED_00437;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00437;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	426588	429209	.	+	0	ID=AAHFOCED_00438;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00438;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	429253	430770	.	+	0	ID=AAHFOCED_00439;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00439;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	430786	432117	.	+	0	ID=AAHFOCED_00440;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00440;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	432119	433024	.	+	0	ID=AAHFOCED_00441;eC_number=6.3.2.-;Name=rimK;db_xref=COG:COG0189;gene=rimK;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P0C0U4;locus_tag=AAHFOCED_00441;product=Ribosomal protein S6--L-glutamate ligase
edge_3683l	Prodigal:002006	CDS	433032	433478	.	+	0	ID=AAHFOCED_00442;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00442;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	433481	433960	.	+	0	ID=AAHFOCED_00443;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00443;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	433964	434944	.	-	0	ID=AAHFOCED_00444;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00444;product=hypothetical protein
edge_3683l	Aragorn:001002	tRNA	435057	435133	.	-	.	ID=AAHFOCED_00445;inference=COORDINATES:profile:Aragorn:001002;locus_tag=AAHFOCED_00445;product=tRNA-Lys(ttt)
edge_3683l	Prodigal:002006	CDS	435184	435903	.	-	0	ID=AAHFOCED_00446;eC_number=3.1.1.31;Name=pgl;db_xref=COG:COG0363;gene=pgl;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P9WQP5;locus_tag=AAHFOCED_00446;product=6-phosphogluconolactonase
edge_3683l	Prodigal:002006	CDS	435928	437397	.	+	0	ID=AAHFOCED_00447;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00447;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	437464	438189	.	+	0	ID=AAHFOCED_00448;db_xref=COG:COG0217;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:A0QWH1;locus_tag=AAHFOCED_00448;product=putative transcriptional regulatory protein/MSMEI_2866
edge_3683l	Prodigal:002006	CDS	438232	439917	.	+	0	ID=AAHFOCED_00449;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00449;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	439961	440467	.	+	0	ID=AAHFOCED_00450;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00450;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	440430	441299	.	+	0	ID=AAHFOCED_00451;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00451;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	441296	442756	.	+	0	ID=AAHFOCED_00452;eC_number=1.14.12.17;Name=hmp_1;gene=hmp_1;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01252;locus_tag=AAHFOCED_00452;product=Flavohemoprotein
edge_3683l	Prodigal:002006	CDS	442775	443257	.	+	0	ID=AAHFOCED_00453;eC_number=3.1.22.4;Name=ruvC;db_xref=COG:COG0817;gene=ruvC;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q5SJC4;locus_tag=AAHFOCED_00453;product=Crossover junction endodeoxyribonuclease RuvC
edge_3683l	Prodigal:002006	CDS	443337	445736	.	+	0	ID=AAHFOCED_00454;Name=ydfJ_1;db_xref=COG:COG2409;gene=ydfJ_1;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P96687;locus_tag=AAHFOCED_00454;product=Membrane protein YdfJ
edge_3683l	Prodigal:002006	CDS	445814	448255	.	+	0	ID=AAHFOCED_00455;eC_number=2.4.1.129;Name=mtgA_1;gene=mtgA_1;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_00766;locus_tag=AAHFOCED_00455;product=Biosynthetic peptidoglycan transglycosylase
edge_3683l	Prodigal:002006	CDS	448252	448827	.	+	0	ID=AAHFOCED_00456;eC_number=3.6.4.12;Name=ruvA;db_xref=COG:COG0632;gene=ruvA;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P0A809;locus_tag=AAHFOCED_00456;product=Holliday junction ATP-dependent DNA helicase RuvA
edge_3683l	Prodigal:002006	CDS	448834	450711	.	-	0	ID=AAHFOCED_00457;Name=kup;gene=kup;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01522;locus_tag=AAHFOCED_00457;product=Low affinity potassium transport system protein kup
edge_3683l	Prodigal:002006	CDS	450766	451785	.	+	0	ID=AAHFOCED_00458;eC_number=3.6.4.12;Name=ruvB_1;db_xref=COG:COG2255;gene=ruvB_1;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:O32055;locus_tag=AAHFOCED_00458;product=Holliday junction ATP-dependent DNA helicase RuvB
edge_3683l	Prodigal:002006	CDS	451793	452515	.	+	0	ID=AAHFOCED_00459;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00459;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	452512	453015	.	-	0	ID=AAHFOCED_00460;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00460;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	453137	454183	.	+	0	ID=AAHFOCED_00461;Name=recA;db_xref=COG:COG0468;gene=recA;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P62209;locus_tag=AAHFOCED_00461;product=Protein RecA
edge_3683l	Prodigal:002006	CDS	454184	454774	.	+	0	ID=AAHFOCED_00462;eC_number=3.-.-.-;Name=ydeN;db_xref=COG:COG3545;gene=ydeN;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P96671;locus_tag=AAHFOCED_00462;product=Putative hydrolase YdeN
edge_3683l	Prodigal:002006	CDS	454771	455436	.	+	0	ID=AAHFOCED_00463;Name=recX;gene=recX;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01114;locus_tag=AAHFOCED_00463;product=Regulatory protein RecX
edge_3683l	Prodigal:002006	CDS	455429	456004	.	-	0	ID=AAHFOCED_00464;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00464;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	456026	456316	.	-	0	ID=AAHFOCED_00465;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00465;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	456313	456942	.	-	0	ID=AAHFOCED_00466;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00466;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	456942	457490	.	-	0	ID=AAHFOCED_00467;inference=ab initio prediction:Prodigal:002006;locus_tag=AAHFOCED_00467;product=hypothetical protein
edge_3683l	Prodigal:002006	CDS	457487	458539	.	-	0	ID=AAHFOCED_00468;Name=ftsA_1;gene=ftsA_1;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_02033;locus_tag=AAHFOCED_00468;product=Cell division protein FtsA
edge_3683l	Prodigal:002006	CDS	458603	459085	.	-	0	ID=AAHFOCED_00469;Name=gspF;db_xref=COG:COG1459;gene=gspF;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P41441;locus_tag=AAHFOCED_00469;product=Putative type II secretion system protein F
